Company,Date,Close/Last,Volume,Open,High,Low
META,08/19/2014,0.26,0.17,0.26,0.26,0.27
META,08/18/2014,0.26,0.15,0.26,0.26,0.26
META,08/15/2014,0.26,0.25,0.26,0.26,0.26
META,08/14/2014,0.26,0.14,0.26,0.26,0.26
META,08/13/2014,0.26,0.18,0.26,0.26,0.26
META,08-12-2014,0.26,0.17,0.26,0.25,0.26
META,08-11-2014,0.26,0.15,0.26,0.25,0.26
META,08-08-2014,0.26,0.17,0.26,0.25,0.26
META,08-07-2014,0.26,0.24,0.26,0.26,0.26
META,08-06-2014,0.25,0.2,0.25,0.25,0.25
META,08-05-2014,0.25,0.22,0.26,0.25,0.26
META,08-04-2014,0.26,0.19,0.25,0.25,0.26
META,08-01-2014,0.25,0.28,0.25,0.25,0.25
META,07/31/2014,0.25,0.28,0.26,0.26,0.26
META,07/30/2014,0.26,0.23,0.26,0.26,0.26
META,07/29/2014,0.26,0.26,0.26,0.26,0.26
META,07/28/2014,0.26,0.27,0.26,0.26,0.26
META,07/25/2014,0.26,0.29,0.26,0.26,0.26
META,07/24/2014,0.26,0.8,0.27,0.26,0.26
META,07/23/2014,0.25,0.48,0.24,0.25,0.25
META,07/22/2014,0.24,0.26,0.24,0.24,0.24
META,07/21/2014,0.24,0.32,0.24,0.24,0.24
META,07/18/2014,0.24,0.27,0.23,0.24,0.23
META,07/17/2014,0.23,0.24,0.23,0.23,0.23
META,07/16/2014,0.24,0.19,0.24,0.23,0.24
META,07/15/2014,0.23,0.28,0.24,0.23,0.23
META,07/14/2014,0.24,0.24,0.23,0.23,0.24
META,07-11-2014,0.23,0.25,0.23,0.23,0.23
META,07-10-2014,0.23,0.28,0.22,0.22,0.22
META,07-09-2014,0.23,0.33,0.22,0.22,0.22
META,07-08-2014,0.22,0.44,0.23,0.23,0.22
META,07-07-2014,0.23,0.18,0.23,0.23,0.23
META,07-03-2014,0.23,0.16,0.23,0.23,0.23
META,07-02-2014,0.23,0.27,0.24,0.23,0.23
META,07-01-2014,0.24,0.21,0.24,0.24,0.24
META,06/30/2014,0.24,0.17,0.24,0.23,0.24
META,06/27/2014,0.24,0.3,0.24,0.23,0.24
META,06/26/2014,0.23,0.31,0.24,0.23,0.24
META,06/25/2014,0.24,0.28,0.23,0.23,0.23
META,06/24/2014,0.23,0.37,0.23,0.23,0.23
META,06/23/2014,0.23,0.22,0.22,0.23,0.23
META,06/20/2014,0.23,0.3,0.22,0.22,0.22
META,06/19/2014,0.22,0.22,0.23,0.23,0.23
META,06/18/2014,0.23,0.23,0.23,0.23,0.23
META,06/17/2014,0.22,0.17,0.22,0.22,0.23
META,06/16/2014,0.22,0.2,0.22,0.22,0.23
META,06/13/2014,0.23,0.19,0.23,0.22,0.23
META,06-12-2014,0.22,0.36,0.23,0.23,0.23
META,06-11-2014,0.23,0.28,0.23,0.23,0.23
META,06-10-2014,0.23,0.45,0.22,0.23,0.22
META,06-09-2014,0.22,0.24,0.22,0.22,0.22
META,06-06-2014,0.22,0.27,0.22,0.22,0.22
META,06-05-2014,0.22,0.3,0.22,0.22,0.22
META,06-04-2014,0.22,0.23,0.22,0.22,0.22
META,06-03-2014,0.22,0.2,0.22,0.22,0.22
META,06-02-2014,0.22,0.23,0.22,0.22,0.22
META,05/30/2014,0.22,0.29,0.22,0.22,0.22
META,05/29/2014,0.22,0.27,0.22,0.22,0.22
META,05/28/2014,0.22,0.31,0.22,0.22,0.22
META,05/27/2014,0.22,0.36,0.21,0.22,0.22
META,05/23/2014,0.21,0.24,0.21,0.21,0.21
META,05/22/2014,0.21,0.35,0.21,0.21,0.21
META,05/21/2014,0.21,0.38,0.2,0.21,0.21
META,05/20/2014,0.2,0.35,0.21,0.21,0.21
META,05/19/2014,0.21,0.27,0.2,0.2,0.2
META,05/16/2014,0.2,0.31,0.2,0.2,0.2
META,05/15/2014,0.2,0.36,0.21,0.2,0.2
META,05/14/2014,0.21,0.3,0.21,0.21,0.21
META,05/13/2014,0.21,0.31,0.21,0.21,0.21
META,05-12-2014,0.21,0.31,0.2,0.21,0.2
META,05-09-2014,0.2,0.34,0.2,0.2,0.2
META,05-08-2014,0.2,0.39,0.2,0.2,0.2
META,05-07-2014,0.2,0.51,0.2,0.2,0.2
META,05-06-2014,0.2,0.36,0.21,0.21,0.21
META,05-05-2014,0.21,0.29,0.21,0.21,0.21
META,05-02-2014,0.21,0.35,0.21,0.21,0.21
META,05-01-2014,0.21,0.53,0.21,0.21,0.21
META,04/30/2014,0.21,0.49,0.2,0.21,0.2
META,04/29/2014,0.2,0.49,0.19,0.2,0.2
META,04/28/2014,0.2,0.7,0.2,0.2,0.19
META,04/25/2014,0.2,0.6,0.21,0.21,0.2
META,04/24/2014,0.21,0.9,0.22,0.22,0.21
META,04/23/2014,0.21,0.61,0.22,0.22,0.22
META,04/22/2014,0.22,0.39,0.22,0.22,0.22
META,04/21/2014,0.21,0.39,0.21,0.21,0.21
META,04/17/2014,0.21,0.57,0.21,0.21,0.21
META,04/16/2014,0.21,0.51,0.21,0.21,0.2
META,04/15/2014,0.21,0.7,0.21,0.2,0.2
META,04/14/2014,0.21,0.47,0.21,0.21,0.2
META,04-11-2014,0.2,0.59,0.2,0.21,0.2
META,04-10-2014,0.21,0.75,0.22,0.22,0.21
META,04-09-2014,0.22,0.65,0.21,0.21,0.21
META,04-08-2014,0.2,0.51,0.2,0.2,0.2
META,04-07-2014,0.2,0.7,0.19,0.2,0.2
META,04-04-2014,0.2,0.81,0.21,0.21,0.2
META,04-03-2014,0.21,0.54,0.22,0.22,0.21
META,04-02-2014,0.22,0.43,0.22,0.22,0.22
META,04-01-2014,0.22,0.38,0.21,0.22,0.21
META,03/31/2014,0.21,0.34,0.21,0.21,0.21
META,03/28/2014,0.21,0.43,0.21,0.21,0.21
META,03/27/2014,0.21,0.73,0.21,0.21,0.2
META,03/26/2014,0.21,0.63,0.23,0.22,0.21
META,03/25/2014,0.23,0.44,0.23,0.23,0.23
META,03/24/2014,0.22,0.55,0.23,0.23,0.22
META,03/21/2014,0.24,0.39,0.24,0.23,0.23
META,03/20/2014,0.23,0.28,0.24,0.23,0.24
META,03/19/2014,0.24,0.28,0.24,0.24,0.24
META,03/18/2014,0.24,0.26,0.24,0.24,0.24
META,03/17/2014,0.24,0.33,0.24,0.24,0.24
META,03/14/2014,0.24,0.31,0.24,0.24,0.24
META,03/13/2014,0.24,0.37,0.25,0.25,0.24
META,03-12-2014,0.25,0.3,0.24,0.25,0.24
META,03-11-2014,0.25,0.38,0.25,0.25,0.25
META,03-10-2014,0.25,0.39,0.25,0.25,0.25
META,03-07-2014,0.24,0.25,0.25,0.25,0.25
META,03-06-2014,0.25,0.29,0.25,0.25,0.25
META,03-05-2014,0.25,0.48,0.24,0.25,0.25
META,03-04-2014,0.24,0.27,0.24,0.24,0.24
META,03-03-2014,0.24,0.37,0.23,0.23,0.24
META,02/28/2014,0.24,0.43,0.24,0.24,0.24
META,02/27/2014,0.24,0.27,0.24,0.24,0.24
META,02/26/2014,0.24,0.36,0.25,0.25,0.24
META,02/25/2014,0.24,0.33,0.25,0.24,0.25
META,02/24/2014,0.25,0.5,0.24,0.25,0.24
META,02/21/2014,0.24,0.46,0.24,0.24,0.24
META,02/20/2014,0.24,0.85,0.24,0.24,0.23
META,02/19/2014,0.24,0.39,0.23,0.24,0.24
META,02/18/2014,0.24,0.28,0.23,0.23,0.23
META,02/14/2014,0.23,0.23,0.24,0.23,0.24
META,02/13/2014,0.24,0.4,0.22,0.23,0.23
META,02-12-2014,0.23,0.3,0.23,0.22,0.23
META,02-11-2014,0.23,0.29,0.22,0.22,0.22
META,02-10-2014,0.22,0.28,0.22,0.22,0.22
META,02-07-2014,0.22,0.39,0.22,0.22,0.22
META,02-06-2014,0.22,0.27,0.21,0.22,0.22
META,02-05-2014,0.22,0.33,0.22,0.22,0.22
META,02-04-2014,0.22,0.29,0.22,0.22,0.22
META,02-03-2014,0.21,0.48,0.22,0.22,0.21
META,01/31/2014,0.22,0.57,0.21,0.22,0.21
META,01/30/2014,0.21,0.98,0.22,0.21,0.21
META,01/29/2014,0.19,0.58,0.19,0.19,0.19
META,01/28/2014,0.19,0.31,0.19,0.19,0.19
