date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2018-12-27,0.03,0.03,0.03,0.03,0.53,0.37,0.35,0.39,0.32,0.04,0.04,0.03,0.04,0.37,0.04,0.08,0.05,0.04,0.03
2018-12-28,0.03,0.03,0.03,0.03,0.63,0.49,0.44,0.69,0.41,0.04,0.04,0.03,0.04,0.38,0.04,0.07,0.05,0.04,0.03
2018-12-31,0.03,0.03,0.03,0.03,0.38,0.48,0.44,0.77,0.43,0.04,0.04,0.03,0.04,0.39,0.04,0.04,0.05,0.04,0.03
2019-01-02,0.03,0.03,0.03,0.03,0.74,0.35,0.34,0.35,0.32,0.04,0.04,0.03,0.04,0.37,0.04,0.12,0.05,0.04,0.03
2019-01-03,0.03,0.03,0.03,0.03,0.43,0.3,0.31,0.32,0.31,0.04,0.04,0.03,0.04,0.35,0.04,0.04,0.05,0.04,0.03
2019-01-04,0.03,0.03,0.03,0.03,0.45,0.44,0.4,0.44,0.38,0.04,0.04,0.03,0.04,0.35,0.04,0.06,0.05,0.04,0.03
2019-01-07,0.03,0.03,0.03,0.03,0.47,0.54,0.47,0.66,0.52,0.04,0.04,0.03,0.04,0.37,0.03,0.06,0.05,0.04,0.03
2019-01-08,0.03,0.03,0.03,0.03,0.43,0.54,0.48,0.67,0.59,0.04,0.04,0.03,0.04,0.38,0.03,0.05,0.05,0.04,0.03
2019-01-09,0.03,0.03,0.03,0.03,0.32,0.56,0.49,0.67,0.62,0.04,0.04,0.03,0.04,0.4,0.03,0.04,0.04,0.04,0.03
2019-01-10,0.03,0.03,0.03,0.03,0.36,0.6,0.52,0.67,0.64,0.04,0.04,0.03,0.04,0.42,0.03,0.04,0.04,0.04,0.03
2019-01-11,0.03,0.03,0.03,0.03,0.29,0.62,0.53,0.68,0.64,0.04,0.04,0.03,0.04,0.43,0.03,0.03,0.04,0.04,0.03
2019-01-14,0.03,0.03,0.03,0.03,0.31,0.49,0.46,0.56,0.56,0.04,0.04,0.03,0.04,0.43,0.03,0.04,0.04,0.04,0.03
2019-01-15,0.03,0.03,0.03,0.03,0.36,0.57,0.51,0.66,0.59,0.04,0.04,0.03,0.04,0.44,0.03,0.04,0.04,0.04,0.03
2019-01-16,0.03,0.03,0.03,0.03,0.27,0.58,0.52,0.76,0.61,0.04,0.04,0.03,0.04,0.45,0.03,0.02,0.03,0.03,0.03
2019-01-17,0.03,0.03,0.03,0.03,0.2,0.59,0.52,0.71,0.6,0.04,0.04,0.03,0.04,0.46,0.03,0.02,0.03,0.03,0.03
2019-01-18,0.03,0.03,0.03,0.03,1.0,0.26,0.31,0.03,0.29,0.04,0.04,0.03,0.04,0.43,0.03,0.17,0.05,0.04,0.03
2019-01-22,0.03,0.03,0.03,0.03,0.77,0.25,0.3,0.21,0.28,0.04,0.04,0.03,0.04,0.4,0.03,0.04,0.04,0.04,0.02
2019-01-23,0.03,0.02,0.02,0.02,0.8,0.2,0.26,0.26,0.23,0.04,0.04,0.03,0.04,0.37,0.03,0.06,0.04,0.04,0.03
2019-01-24,0.02,0.02,0.02,0.03,0.5,0.25,0.28,0.32,0.25,0.04,0.04,0.03,0.04,0.34,0.03,0.04,0.04,0.04,0.03
